Unnamed: 0,Player Name,Salary,Position,Age,Team,GP,MP,FG,FGA,FG%,3P,3PA,3,2P,2PA,2,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Total Minutes
0.0,Stephen Curry,48070014.0,PG,34.0,GSW,56.0,34.7,10.0,20.2,0.493,4.9,11.4,0.427,5.1,8.8,0.579,4.6,5.0,0.915,0.7,5.4,6.1,6.3,0.9,0.4,3.2,29.4,1941.0
1.0,John Wall,47345760.0,PG,32.0,LAC,34.0,22.2,4.1,9.9,0.408,1.0,3.2,0.303,3.1,6.7,0.459,2.3,3.3,0.681,0.4,2.3,2.7,5.2,0.8,0.4,2.4,11.4,755.0
2.0,Russell Westbrook,47080179.0,PG,34.0,LAL/LAC,73.0,29.1,5.9,13.6,0.436,1.2,3.9,0.311,4.7,9.7,0.487,2.8,4.3,0.656,1.2,4.6,5.8,7.5,1.0,0.5,3.5,15.9,2126.0
3.0,LeBron James,44474988.0,PF,38.0,LAL,55.0,35.5,11.1,22.2,0.5,2.2,6.9,0.321,8.9,15.3,0.58,4.6,5.9,0.768,1.2,7.1,8.3,6.8,0.9,0.6,3.2,28.9,1954.0
4.0,Kevin Durant,44119845.0,PF,34.0,BRK/PHO,47.0,35.6,10.3,18.3,0.56,2.0,4.9,0.404,8.3,13.4,0.617,6.5,7.1,0.919,0.4,6.3,6.7,5.0,0.7,1.4,3.3,29.1,1672.0
5.0,Bradley Beal,43279250.0,SG,29.0,WAS,50.0,33.5,8.9,17.6,0.506,1.6,4.4,0.365,7.3,13.2,0.552,3.8,4.6,0.842,0.8,3.1,3.9,5.4,0.9,0.7,2.9,23.2,1673.0
6.0,Kawhi Leonard,42492492.0,SF,31.0,LAC,52.0,33.6,8.6,16.8,0.512,2.0,4.8,0.416,6.6,11.9,0.551,4.7,5.4,0.871,1.1,5.4,6.5,3.9,1.4,0.5,1.7,23.8,1748.0
7.0,Paul George,42492492.0,SF,32.0,LAC,56.0,34.6,8.2,17.9,0.457,2.8,7.6,0.371,5.4,10.3,0.521,4.6,5.3,0.871,0.8,5.3,6.1,5.1,1.5,0.4,3.1,23.8,1939.0
8.0,Giannis Antetokounmpo,42492492.0,PF,28.0,MIL,63.0,32.1,11.2,20.3,0.553,0.7,2.7,0.275,10.5,17.6,0.596,7.9,12.3,0.645,2.2,9.6,11.8,5.7,0.8,0.8,3.9,31.1,2024.0
9.0,Damian Lillard,42492492.0,PG,32.0,POR,58.0,36.3,9.6,20.7,0.463,4.2,11.3,0.371,5.4,9.4,0.574,8.8,9.6,0.914,0.8,4.0,4.8,7.3,0.9,0.3,3.3,32.2,2107.0
10.0,Klay Thompson,40600080.0,SF,32.0,GSW,69.0,33.0,7.9,18.1,0.436,4.4,10.6,0.412,3.6,7.6,0.47,1.7,1.9,0.879,0.6,3.6,4.1,2.4,0.7,0.4,1.8,21.9,2279.0
11.0,Kyrie Irving,38917057.0,PG-SG,30.0,BRK/DAL,60.0,37.4,9.9,20.1,0.494,3.1,8.3,0.379,6.8,11.8,0.574,4.1,4.6,0.905,1.0,4.1,5.1,5.5,1.1,0.8,2.1,27.1,2241.0
12.0,Rudy Gobert,38172414.0,C,30.0,MIN,70.0,30.7,5.1,7.8,0.659,0.0,0.0,0.0,5.1,7.8,0.663,3.1,4.9,0.644,3.3,8.3,11.6,1.2,0.8,1.4,1.7,13.4,2148.0
13.0,Khris Middleton,37984276.0,SF,31.0,MIL,33.0,24.3,5.4,12.3,0.436,1.5,4.9,0.315,3.8,7.4,0.516,2.8,3.1,0.902,0.8,3.4,4.2,4.9,0.7,0.2,2.2,15.1,801.0
14.0,Anthony Davis,37980720.0,C,29.0,LAL,56.0,34.0,9.7,17.2,0.563,0.3,1.3,0.257,9.3,15.9,0.589,6.2,7.9,0.784,3.5,9.1,12.5,2.6,1.1,2.0,2.2,25.9,1904.0
15.0,Jimmy Butler,37653300.0,PF,33.0,MIA,64.0,33.4,7.5,13.9,0.539,0.6,1.6,0.35,6.9,12.3,0.564,7.4,8.7,0.85,2.2,3.7,5.9,5.3,1.8,0.3,1.6,22.9,2138.0
16.0,Tobias Harris,37633050.0,SF,30.0,PHI,74.0,32.9,5.7,11.4,0.501,1.7,4.4,0.389,4.0,7.0,0.57,1.5,1.7,0.876,0.9,4.8,5.7,2.5,0.9,0.5,1.2,14.7,2436.0
18.0,Trae Young,37096500.0,PG,24.0,ATL,73.0,34.8,8.2,19.0,0.429,2.1,6.3,0.335,6.1,12.7,0.476,7.8,8.8,0.886,0.8,2.2,3.0,10.2,1.1,0.1,4.1,26.2,2541.0
19.0,Zach LaVine,37096500.0,SG,27.0,CHI,77.0,35.9,8.7,18.0,0.485,2.6,7.1,0.375,6.1,11.0,0.556,4.7,5.6,0.848,0.5,3.9,4.5,4.2,0.9,0.2,2.5,24.8,2768.0
20.0,Ben Simmons,35448672.0,PG,26.0,BRK,42.0,26.3,3.2,5.6,0.566,0.0,0.0,0.0,3.2,5.5,0.571,0.6,1.4,0.439,1.0,5.3,6.3,6.1,1.3,0.6,2.3,6.9,1105.0
21.0,Pascal Siakam,35448672.0,PF,28.0,TOR,71.0,37.4,8.9,18.5,0.48,1.3,4.0,0.324,7.6,14.5,0.523,5.2,6.7,0.774,1.8,6.0,7.8,5.8,0.9,0.5,2.4,24.2,2652.0
22.0,Myles Turner,35096500.0,C,26.0,IND,62.0,29.4,6.5,11.8,0.548,1.5,4.0,0.373,5.0,7.8,0.638,3.5,4.5,0.783,1.4,6.1,7.5,1.4,0.6,2.3,1.7,18.0,1825.0
23.0,Jrue Holiday,34319520.0,PG,32.0,MIL,67.0,32.6,7.3,15.3,0.479,2.4,6.1,0.384,5.0,9.1,0.542,2.3,2.6,0.859,1.2,3.9,5.1,7.4,1.2,0.4,2.9,19.3,2183.0
24.0,Karl-Anthony Towns,33833400.0,PF,27.0,MIN,29.0,33.0,7.3,14.8,0.495,2.1,5.7,0.366,5.2,9.1,0.576,4.1,4.7,0.874,1.7,6.5,8.1,4.8,0.7,0.6,3.0,20.8,957.0
25.0,Devin Booker,33833400.0,SG,26.0,PHO,53.0,34.6,9.9,20.1,0.494,2.1,6.0,0.351,7.8,14.2,0.554,5.8,6.8,0.855,0.9,3.7,4.5,5.5,1.0,0.3,2.7,27.8,1835.0
26.0,Andrew Wiggins,33616770.0,SF,27.0,GSW,37.0,32.2,6.8,14.3,0.473,2.4,6.1,0.396,4.4,8.2,0.53,1.2,1.9,0.611,1.6,3.4,5.0,2.3,1.2,0.8,1.3,17.1,1190.0
27.0,Joel Embiid,33616770.0,C,28.0,PHI,66.0,34.6,11.0,20.1,0.548,1.0,3.0,0.33,10.0,17.1,0.587,10.0,11.7,0.857,1.7,8.4,10.2,4.2,1.0,1.7,3.4,33.1,2284.0
28.0,CJ McCollum,33333333.0,SG,31.0,NOP,75.0,35.3,7.8,17.9,0.437,2.8,7.2,0.389,5.0,10.7,0.469,2.4,3.2,0.769,0.7,3.6,4.4,5.7,0.9,0.5,2.4,20.9,2649.0
29.0,James Harden,33000000.0,PG,33.0,PHI,58.0,36.8,6.4,14.5,0.441,2.8,7.2,0.385,3.6,7.3,0.495,5.4,6.2,0.867,0.7,5.4,6.1,10.7,1.2,0.5,3.4,21.0,2135.0
30.0,Jamal Murray,31650600.0,PG,25.0,DEN,65.0,32.8,7.3,16.0,0.454,2.6,6.6,0.398,4.6,9.4,0.494,2.8,3.3,0.833,0.7,3.2,4.0,6.2,1.0,0.2,2.2,20.0,2133.0
31.0,Brandon Ingram,31650600.0,SF,25.0,NOP,45.0,34.2,9.0,18.6,0.484,1.4,3.6,0.39,7.6,14.9,0.507,5.3,6.0,0.882,0.5,5.0,5.5,5.8,0.7,0.4,3.3,24.7,1538.0
32.0,D'Angelo Russell,31377750.0,PG,26.0,LAL/MIN,71.0,32.5,6.3,13.4,0.469,2.7,6.9,0.396,3.5,6.5,0.548,2.5,3.0,0.829,0.5,2.5,3.0,6.2,1.0,0.4,2.6,17.8,2304.0
33.0,Donovan Mitchell,30913750.0,SG,26.0,CLE,68.0,35.8,10.0,20.6,0.484,3.6,9.3,0.386,6.4,11.3,0.566,4.7,5.4,0.867,0.9,3.3,4.3,4.4,1.5,0.4,2.6,28.3,2432.0
34.0,Shai Gilgeous-Alexander,30913750.0,PG,24.0,OKC,68.0,35.5,10.4,20.3,0.51,0.9,2.5,0.345,9.5,17.8,0.533,9.8,10.9,0.905,0.9,4.0,4.8,5.5,1.6,1.0,2.8,31.4,2416.0
35.0,Deandre Ayton,30913750.0,C,24.0,PHO,67.0,30.4,7.8,13.2,0.589,0.1,0.4,0.292,7.7,12.9,0.597,2.3,3.0,0.76,2.6,7.4,10.0,1.7,0.6,0.8,1.8,18.0,2035.0
36.0,Kevin Love,30556968.0,PF,34.0,CLE/MIA,62.0,20.0,2.7,6.8,0.389,1.6,4.8,0.334,1.1,2.1,0.516,1.3,1.5,0.879,1.0,5.5,6.4,1.9,0.3,0.2,1.1,8.2,1240.0
